img_resolution 32
Files already downloaded and verified
img_resolution 32
Files already downloaded and verified
cifar_noniid 50000 100 dir
5000 41000 4000
cifar_noniid 10000 100 dir
0 6000 4000
kd_idx len 5000 out of 5000
Successfully loaded weights from pretrained resnet
self.update_layer_name was defined. ['adapter', 'bn1', 'bn2', 'fc.weight', 'fc.bias']
local finetune 확인####################: False
personalized cli 4 ep 0 batch 168  train Loss: 4.263 | Acc:36.686% | total 2704
personalized cli 4 ep 1 batch 168  train Loss: 4.027 | Acc:46.080% | total 2704
personalized cli 4 ep 2 batch 168  train Loss: 4.042 | Acc:48.114% | total 2704
personalized cli 4 ep 3 batch 168  train Loss: 4.012 | Acc:50.444% | total 2704
personalized cli 4 ep 4 batch 168  train Loss: 4.066 | Acc:50.999% | total 2704
personalized cli 4 ep 5 batch 168  train Loss: 4.110 | Acc:51.331% | total 2704
personalized cli 4 ep 6 batch 168  train Loss: 4.067 | Acc:52.626% | total 2704
personalized cli 4 ep 7 batch 168  train Loss: 4.090 | Acc:53.291% | total 2704
personalized cli 4 ep 8 batch 168  train Loss: 4.128 | Acc:52.367% | total 2704
personalized cli 4 ep 9 batch 168  train Loss: 4.213 | Acc:51.960% | total 2704
cli 4 ep 0 batch 168  train Loss: 2.901 | Acc:37.833% | total 2704
cli 4 ep 1 batch 168  train Loss: 2.207 | Acc:47.337% | total 2704
cli 4 ep 2 batch 168  train Loss: 1.995 | Acc:50.888% | total 2704
cli 4 ep 3 batch 168  train Loss: 1.846 | Acc:53.883% | total 2704
cli 4 ep 4 batch 168  train Loss: 1.786 | Acc:54.993% | total 2704
cli 4 ep 5 batch 168  train Loss: 1.711 | Acc:56.916% | total 2704
cli 4 ep 6 batch 168  train Loss: 1.625 | Acc:58.469% | total 2704
cli 4 ep 7 batch 168  train Loss: 1.529 | Acc:62.167% | total 2704
cli 4 ep 8 batch 168  train Loss: 1.505 | Acc:61.797% | total 2704
cli 4 ep 9 batch 168  train Loss: 1.485 | Acc:62.574% | total 2704
personalized cli 18 ep 0 batch 169  train Loss: 4.709 | Acc:24.853% | total 2720
personalized cli 18 ep 1 batch 169  train Loss: 4.627 | Acc:32.169% | total 2720
personalized cli 18 ep 2 batch 169  train Loss: 4.646 | Acc:36.765% | total 2720
personalized cli 18 ep 3 batch 169  train Loss: 4.728 | Acc:37.059% | total 2720
personalized cli 18 ep 4 batch 169  train Loss: 4.712 | Acc:38.750% | total 2720
personalized cli 18 ep 5 batch 169  train Loss: 4.701 | Acc:40.441% | total 2720
personalized cli 18 ep 6 batch 169  train Loss: 4.760 | Acc:40.846% | total 2720
personalized cli 18 ep 7 batch 169  train Loss: 4.778 | Acc:40.478% | total 2720
personalized cli 18 ep 8 batch 169  train Loss: 4.876 | Acc:39.559% | total 2720
personalized cli 18 ep 9 batch 169  train Loss: 4.804 | Acc:41.912% | total 2720
cli 18 ep 0 batch 169  train Loss: 3.415 | Acc:25.368% | total 2720
cli 18 ep 1 batch 169  train Loss: 2.706 | Acc:33.934% | total 2720
cli 18 ep 2 batch 169  train Loss: 2.428 | Acc:39.081% | total 2720
cli 18 ep 3 batch 169  train Loss: 2.268 | Acc:41.985% | total 2720
cli 18 ep 4 batch 169  train Loss: 2.147 | Acc:45.074% | total 2720
cli 18 ep 5 batch 169  train Loss: 2.101 | Acc:46.250% | total 2720
cli 18 ep 6 batch 169  train Loss: 1.981 | Acc:48.419% | total 2720
cli 18 ep 7 batch 169  train Loss: 1.960 | Acc:47.757% | total 2720
cli 18 ep 8 batch 169  train Loss: 1.899 | Acc:49.890% | total 2720
cli 18 ep 9 batch 169  train Loss: 1.836 | Acc:50.809% | total 2720
personalized cli 2 ep 0 batch 111  train Loss: 4.599 | Acc:30.413% | total 1792
personalized cli 2 ep 1 batch 111  train Loss: 4.292 | Acc:40.569% | total 1792
personalized cli 2 ep 2 batch 111  train Loss: 4.247 | Acc:44.922% | total 1792
personalized cli 2 ep 3 batch 111  train Loss: 4.159 | Acc:47.712% | total 1792
personalized cli 2 ep 4 batch 111  train Loss: 4.225 | Acc:46.763% | total 1792
personalized cli 2 ep 5 batch 111  train Loss: 4.274 | Acc:47.266% | total 1792
personalized cli 2 ep 6 batch 111  train Loss: 4.265 | Acc:47.824% | total 1792
personalized cli 2 ep 7 batch 111  train Loss: 4.300 | Acc:49.554% | total 1792
personalized cli 2 ep 8 batch 111  train Loss: 4.418 | Acc:48.828% | total 1792
personalized cli 2 ep 9 batch 111  train Loss: 4.337 | Acc:51.172% | total 1792
cli 2 ep 0 batch 111  train Loss: 3.363 | Acc:30.134% | total 1792
cli 2 ep 1 batch 111  train Loss: 2.556 | Acc:41.016% | total 1792
cli 2 ep 2 batch 111  train Loss: 2.241 | Acc:48.438% | total 1792
cli 2 ep 3 batch 111  train Loss: 2.052 | Acc:51.786% | total 1792
cli 2 ep 4 batch 111  train Loss: 1.991 | Acc:51.507% | total 1792
cli 2 ep 5 batch 111  train Loss: 1.889 | Acc:54.353% | total 1792
cli 2 ep 6 batch 111  train Loss: 1.794 | Acc:56.864% | total 1792
cli 2 ep 7 batch 111  train Loss: 1.752 | Acc:56.975% | total 1792
cli 2 ep 8 batch 111  train Loss: 1.658 | Acc:57.422% | total 1792
cli 2 ep 9 batch 111  train Loss: 1.638 | Acc:56.752% | total 1792
personalized cli 8 ep 0 batch 120  train Loss: 4.806 | Acc:27.686% | total 1936
personalized cli 8 ep 1 batch 120  train Loss: 4.546 | Acc:38.068% | total 1936
personalized cli 8 ep 2 batch 120  train Loss: 4.449 | Acc:42.097% | total 1936
personalized cli 8 ep 3 batch 120  train Loss: 4.403 | Acc:44.525% | total 1936
personalized cli 8 ep 4 batch 120  train Loss: 4.490 | Acc:44.886% | total 1936
personalized cli 8 ep 5 batch 120  train Loss: 4.516 | Acc:48.967% | total 1936
personalized cli 8 ep 6 batch 120  train Loss: 4.526 | Acc:46.952% | total 1936
personalized cli 8 ep 7 batch 120  train Loss: 4.598 | Acc:47.314% | total 1936
personalized cli 8 ep 8 batch 120  train Loss: 4.619 | Acc:48.657% | total 1936
personalized cli 8 ep 9 batch 120  train Loss: 4.607 | Acc:49.380% | total 1936
cli 8 ep 0 batch 120  train Loss: 3.358 | Acc:29.132% | total 1936
cli 8 ep 1 batch 120  train Loss: 2.636 | Acc:39.566% | total 1936
cli 8 ep 2 batch 120  train Loss: 2.369 | Acc:44.835% | total 1936
cli 8 ep 3 batch 120  train Loss: 2.208 | Acc:46.952% | total 1936
cli 8 ep 4 batch 120  train Loss: 2.041 | Acc:51.550% | total 1936
cli 8 ep 5 batch 120  train Loss: 1.983 | Acc:53.306% | total 1936
cli 8 ep 6 batch 120  train Loss: 1.914 | Acc:53.254% | total 1936
cli 8 ep 7 batch 120  train Loss: 1.777 | Acc:56.353% | total 1936
cli 8 ep 8 batch 120  train Loss: 1.727 | Acc:56.302% | total 1936
cli 8 ep 9 batch 120  train Loss: 1.669 | Acc:58.264% | total 1936
personalized cli 3 ep 0 batch 133  train Loss: 4.565 | Acc:34.795% | total 2144
personalized cli 3 ep 1 batch 133  train Loss: 4.493 | Acc:44.776% | total 2144
personalized cli 3 ep 2 batch 133  train Loss: 4.450 | Acc:46.549% | total 2144
personalized cli 3 ep 3 batch 133  train Loss: 4.430 | Acc:47.808% | total 2144
personalized cli 3 ep 4 batch 133  train Loss: 4.339 | Acc:50.606% | total 2144
personalized cli 3 ep 5 batch 133  train Loss: 4.252 | Acc:50.233% | total 2144
personalized cli 3 ep 6 batch 133  train Loss: 4.236 | Acc:51.819% | total 2144
personalized cli 3 ep 7 batch 133  train Loss: 4.223 | Acc:51.632% | total 2144
personalized cli 3 ep 8 batch 133  train Loss: 4.273 | Acc:50.933% | total 2144
personalized cli 3 ep 9 batch 133  train Loss: 4.226 | Acc:53.451% | total 2144
cli 3 ep 0 batch 133  train Loss: 3.174 | Acc:35.914% | total 2144
cli 3 ep 1 batch 133  train Loss: 2.426 | Acc:43.563% | total 2144
cli 3 ep 2 batch 133  train Loss: 2.076 | Acc:50.466% | total 2144
cli 3 ep 3 batch 133  train Loss: 1.960 | Acc:51.399% | total 2144
cli 3 ep 4 batch 133  train Loss: 1.895 | Acc:54.244% | total 2144
cli 3 ep 5 batch 133  train Loss: 1.741 | Acc:55.504% | total 2144
cli 3 ep 6 batch 133  train Loss: 1.698 | Acc:57.043% | total 2144
cli 3 ep 7 batch 133  train Loss: 1.598 | Acc:60.448% | total 2144
cli 3 ep 8 batch 133  train Loss: 1.522 | Acc:61.007% | total 2144
cli 3 ep 9 batch 133  train Loss: 1.530 | Acc:60.634% | total 2144
personalized cli 7 ep 0 batch 184  train Loss: 4.401 | Acc:34.189% | total 2960
personalized cli 7 ep 1 batch 184  train Loss: 4.273 | Acc:44.291% | total 2960
personalized cli 7 ep 2 batch 184  train Loss: 4.238 | Acc:46.993% | total 2960
personalized cli 7 ep 3 batch 184  train Loss: 4.259 | Acc:48.919% | total 2960
personalized cli 7 ep 4 batch 184  train Loss: 4.278 | Acc:49.020% | total 2960
personalized cli 7 ep 5 batch 184  train Loss: 4.224 | Acc:52.264% | total 2960
personalized cli 7 ep 6 batch 184  train Loss: 4.306 | Acc:50.135% | total 2960
personalized cli 7 ep 7 batch 184  train Loss: 4.273 | Acc:52.162% | total 2960
personalized cli 7 ep 8 batch 184  train Loss: 4.269 | Acc:53.480% | total 2960
personalized cli 7 ep 9 batch 184  train Loss: 4.331 | Acc:52.872% | total 2960
cli 7 ep 0 batch 184  train Loss: 2.979 | Acc:35.743% | total 2960
cli 7 ep 1 batch 184  train Loss: 2.177 | Acc:47.568% | total 2960
cli 7 ep 2 batch 184  train Loss: 1.982 | Acc:52.027% | total 2960
cli 7 ep 3 batch 184  train Loss: 1.853 | Acc:53.919% | total 2960
cli 7 ep 4 batch 184  train Loss: 1.759 | Acc:56.385% | total 2960
cli 7 ep 5 batch 184  train Loss: 1.678 | Acc:58.649% | total 2960
cli 7 ep 6 batch 184  train Loss: 1.645 | Acc:58.750% | total 2960
cli 7 ep 7 batch 184  train Loss: 1.554 | Acc:60.811% | total 2960
cli 7 ep 8 batch 184  train Loss: 1.481 | Acc:62.669% | total 2960
cli 7 ep 9 batch 184  train Loss: 1.450 | Acc:63.277% | total 2960
